,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Winde Speed,Country,Date
0,Maragogi,-9.01,-35.22,77.65,78,0,18.28,BR,1603750586
1,Guerrero Negro,27.98,-114.06,74.93,37,2,17.92,MX,1603750927
2,Atuona,-9.8,-139.03,79.12,72,90,20.38,PF,1603750585
3,Omsukchan,62.53,155.8,15.51,94,100,7.45,RU,1603750928
4,Matara,5.95,80.54,77.2,90,73,7.36,LK,1603750928
5,Rikitea,-23.12,-134.97,74.97,85,100,19.35,PF,1603750586
6,Kaitangata,-46.28,169.85,55.99,68,96,4.0,NZ,1603750928
7,Qaanaaq,77.48,-69.36,7.54,74,73,9.55,GL,1603750928
8,Ancud,-41.87,-73.82,54.0,71,20,11.41,CL,1603750928
9,Camacupa,-12.02,17.48,68.36,73,98,6.91,AO,1603750928
10,Bilibino,68.05,166.44,5.68,93,99,2.91,RU,1603750928
11,Vaini,-21.2,-175.2,77.0,78,75,9.17,TO,1603750898
12,Benicarló,40.42,0.43,54.0,61,0,8.99,ES,1603750929
13,Srednekolymsk,67.45,153.68,6.12,90,0,6.06,RU,1603750929
14,Flinders,-34.58,150.86,57.0,93,98,3.0,AU,1603750929
15,Punta Arenas,-53.15,-70.92,51.8,43,20,20.8,CL,1603750646
16,Avarua,-21.21,-159.78,75.2,69,100,14.99,CK,1603750929
17,Sandwick,60.0,-1.25,48.2,93,0,4.7,GB,1603750929
18,Launceston,-41.45,147.17,54.0,62,37,20.8,AU,1603750930
19,Albany,42.6,-73.97,51.01,83,100,4.99,US,1603750930
20,Ponta do Sol,32.67,-17.1,66.2,72,40,11.41,PT,1603750930
21,Busselton,-33.65,115.33,59.0,83,61,10.65,AU,1603750930
22,Dunedin,-45.87,170.5,52.0,74,78,7.0,NZ,1603750608
23,Kaseda-shirakame,31.42,130.32,50.0,100,0,4.7,JP,1603750930
24,Hilo,19.73,-155.09,80.6,74,90,5.82,US,1603750594
25,Saldanha,-33.01,17.94,59.0,87,12,3.36,ZA,1603750364
26,Kapaa,22.08,-159.32,84.0,59,51,4.52,US,1603750594
27,Chapais,49.78,-74.85,28.4,100,90,5.82,CA,1603750581
28,Nanortalik,60.14,-45.24,33.67,91,92,10.89,GL,1603750592
29,Palagiano,40.58,17.04,64.99,100,40,4.7,IT,1603750931
30,Étampes,48.43,2.15,46.99,49,22,5.99,FR,1603750931
31,Los Llanos de Aridane,28.66,-17.92,69.8,64,0,12.75,ES,1603750897
32,Constitución,-35.33,-72.42,55.9,67,60,15.01,CL,1603750585
33,Saint Paul Harbor,57.79,-152.41,51.8,50,1,20.8,US,1603750591
34,Ushuaia,-54.8,-68.3,51.8,50,40,13.87,AR,1603750585
35,Padang,-0.95,100.35,78.12,71,99,3.06,ID,1603750468
36,Carutapera,-1.2,-46.02,79.95,79,91,6.15,BR,1603750932
37,Bredasdorp,-34.53,20.04,64.4,82,100,9.17,ZA,1603750595
38,Alofi,-19.06,-169.92,77.0,78,75,14.99,NU,1603750548
39,Sept-Îles,50.2,-66.38,32.0,96,90,5.82,CA,1603750922
40,Korla,41.76,86.15,41.0,83,71,3.0,CN,1603750933
41,Aripuanã,-9.17,-60.63,84.97,58,91,5.17,BR,1603750847
42,Mataura,-46.19,168.86,53.01,74,96,1.99,NZ,1603750594
43,Bloomingdale,27.89,-82.24,89.01,58,90,5.82,US,1603750933
44,Taoudenni,22.68,-3.98,86.67,19,5,8.59,ML,1603750933
45,Boyabat,41.47,34.77,62.6,31,0,0.94,TR,1603750934
46,Fort Nelson,58.81,-122.7,32.0,86,90,4.7,CA,1603750612
47,Sitka,57.05,-135.33,48.02,88,100,7.49,US,1603750595
48,Pavlodar,52.3,76.95,48.2,61,0,17.9,KZ,1603750934
49,Thompson,55.74,-97.86,30.2,46,75,8.05,CA,1603750404
50,Saskylakh,71.92,114.08,-0.02,91,93,5.86,RU,1603750585
51,Laguna,38.42,-121.42,75.0,7,1,20.8,US,1603750666
52,Leningradskiy,69.38,178.42,26.98,98,100,11.27,RU,1603750604
53,Tuktoyaktuk,69.45,-133.04,8.6,84,40,12.75,CA,1603750604
54,Minsk,53.9,27.57,46.4,93,0,11.18,BY,1603750903
55,Yellowknife,62.46,-114.35,24.8,62,75,5.82,CA,1603750484
56,Longyan,25.11,117.02,66.0,65,2,1.99,CN,1603750935
57,San Patricio,28.02,-97.52,86.0,62,40,20.8,US,1603750610
58,Nagorsk,59.32,50.81,25.02,97,39,4.29,RU,1603750935
59,Barrow,71.29,-156.79,19.4,85,90,5.82,US,1603750314
60,Fortuna,40.6,-124.16,70.0,18,1,11.41,US,1603750592
61,Katobu,-4.94,122.53,76.32,86,100,3.47,ID,1603750603
62,Kirakira,-10.45,161.92,84.33,72,77,4.56,SB,1603750936
63,Kalamare,-22.93,26.57,72.82,28,29,9.55,BW,1603750936
64,Saint-Philippe,-21.36,55.77,71.6,78,51,4.7,RE,1603750598
65,Najrān,17.49,44.13,62.6,27,0,2.3,SA,1603750594
66,Ribeira Grande,38.52,-28.7,69.8,88,75,18.34,PT,1603750601
67,Kupang,-10.17,123.58,75.2,94,20,2.24,ID,1603750937
68,Castro,-24.79,-50.01,66.38,81,97,4.65,BR,1603750585
69,Port Alfred,-33.59,26.89,65.95,84,93,26.49,ZA,1603750587
70,Cherskiy,68.75,161.3,3.36,93,27,5.86,RU,1603750613
71,Talnakh,69.49,88.4,1.4,84,40,2.86,RU,1603750598
72,La Tuque,47.43,-72.78,32.47,97,100,3.85,CA,1603750937
73,San Miguel de Cozumel,20.51,-86.95,82.4,74,90,28.86,MX,1603750932
74,Dikson,73.51,80.55,11.3,95,97,15.9,RU,1603750592
75,Coquimbo,-29.95,-71.34,59.0,77,0,13.87,CL,1603750601
76,Carnarvon,-24.87,113.63,68.0,82,0,18.34,AU,1603750602
77,São João da Barra,-21.64,-41.05,73.4,94,75,2.24,BR,1603750398
78,Mahon,39.89,4.27,51.8,81,0,3.47,ES,1603750938
79,Arraial do Cabo,-22.97,-42.03,75.2,78,20,5.82,BR,1603750596
80,Saint Anthony,45.02,-93.22,30.2,50,40,6.93,US,1603750622
81,Kavaratti,10.57,72.64,82.09,72,81,6.69,IN,1603750918
82,Bilma,18.69,12.92,69.22,24,0,0.96,NE,1603750933
83,Quatre Cocos,-20.21,57.76,72.0,78,75,8.05,MU,1603750939
84,Zhanakorgan,43.91,67.25,45.0,82,0,7.96,KZ,1603750939
85,Pevek,69.7,170.31,23.68,92,98,15.28,RU,1603750592
86,Samal,7.07,125.71,77.0,94,75,2.24,PH,1603750939
87,Hermanus,-34.42,19.23,64.0,85,67,5.01,ZA,1603750587
88,Waitati,-45.75,170.57,52.0,74,69,7.0,NZ,1603750939
89,Narsaq,60.92,-46.05,42.8,28,95,14.99,GL,1603750598
90,Hithadhoo,-0.6,73.08,83.1,66,58,7.72,MV,1603750600
91,Wajima,37.4,136.9,59.32,56,54,4.43,JP,1603750608
92,Severo-Kuril'sk,50.68,156.12,43.29,85,95,2.98,RU,1603750601
93,Tasiilaq,65.61,-37.64,33.8,47,100,20.8,GL,1603750600
94,Marabu,4.41,114.01,75.2,94,40,13.87,MY,1603750940
95,Boyolangu,-8.12,111.89,75.7,90,95,5.61,ID,1603750612
96,Hong Kong,22.29,114.16,75.0,80,87,18.68,HK,1603750415
97,Fairbanks,64.84,-147.72,30.2,92,90,4.45,US,1603750674
98,Acaraú,-2.89,-40.12,78.89,82,0,15.35,BR,1603750941
99,Airai,-8.93,125.41,62.62,94,71,2.1,TL,1603750608
100,Rawson,-43.3,-65.1,68.04,33,100,17.4,AR,1603750847
101,Saint-Joseph,-21.37,55.62,71.6,78,29,4.7,RE,1603750615
102,Olafsvik,64.89,-23.71,40.96,73,100,14.43,IS,1603750941
103,Tucuruí,-3.77,-49.67,81.1,73,75,5.3,BR,1603750839
104,Souillac,-20.52,57.52,71.6,78,75,8.05,MU,1603750613
105,Jalu,29.03,21.55,68.72,54,2,4.7,LY,1603750605
106,Provideniya,64.38,-173.3,32.0,92,90,2.13,RU,1603750603
107,Bluff,-46.6,168.33,53.01,74,64,1.99,NZ,1603750600
108,Forsytheganj,52.63,29.73,47.59,79,45,9.66,BY,1603750942
109,Dali,25.7,100.18,56.75,84,18,2.33,CN,1603750942
110,Phan Thiet,10.93,108.1,76.28,87,100,3.98,VN,1603750687
111,Camaná,-16.62,-72.71,65.93,68,54,6.44,PE,1603750943
112,Saint George,37.1,-113.58,51.01,9,1,32.21,US,1603750502
113,Adilabad,19.67,78.53,73.06,74,52,1.52,IN,1603750943
114,Chui,-33.7,-53.46,57.97,90,100,12.53,UY,1603750595
115,Jamestown,42.1,-79.24,46.0,93,90,9.17,US,1603750591
116,Norsup,-16.07,167.38,77.0,88,75,6.93,VU,1603750943
117,Yangi Marg`ilon,40.43,71.72,50.0,50,0,9.17,UZ,1603750611
118,Port Lincoln,-34.73,135.87,57.16,83,9,10.33,AU,1603750604
119,Lavrentiya,65.58,-171.0,31.41,91,10,5.7,RU,1603750327
120,Faanui,-16.48,-151.75,80.33,77,60,16.8,PF,1603750595
121,Puerto Ayora,-0.74,-90.35,75.2,69,20,20.8,EC,1603750582
122,Butaritari,3.07,172.79,81.66,66,96,9.04,KI,1603750592
123,Chokurdakh,70.63,147.92,5.52,95,100,11.12,RU,1603750599
124,Touros,-5.2,-35.46,80.6,78,40,11.41,BR,1603750621
125,Mikhaylovka,50.06,43.24,43.29,79,93,5.17,RU,1603750944
126,Moose Factory,51.26,-80.61,28.4,54,75,6.93,CA,1603750900
127,Lebu,-37.62,-73.65,53.85,77,100,6.89,CL,1603750604
128,Pineville,31.32,-92.43,77.0,64,90,3.36,US,1603750945
129,Cockburn Town,21.46,-71.14,82.87,80,92,18.45,TC,1603750609
130,Makkah al Mukarramah,21.43,39.83,76.26,57,0,1.23,SA,1603750622
131,Tupik,54.43,119.93,25.3,96,100,11.41,RU,1603750945
132,Ilulissat,69.22,-51.1,19.4,73,100,5.82,GL,1603750601
133,Inhambane,-23.86,35.38,72.79,89,0,5.86,MZ,1603750898
134,Wyndham,37.7,-77.61,64.0,85,84,1.3,US,1603750946
135,Port Elizabeth,-33.92,25.57,64.4,88,90,18.34,ZA,1603750316
136,Kahului,20.89,-156.47,86.0,55,40,6.93,US,1603750912
137,Magdalena,14.2,121.43,80.6,78,90,8.05,PH,1603750946
138,Anito,12.45,125.29,77.83,87,100,5.06,PH,1603750946
139,Bac Lieu,9.29,105.72,75.16,90,83,7.52,VN,1603750946
140,Nogliki,51.83,143.17,38.64,87,97,11.83,RU,1603750946
141,George Town,5.41,100.34,75.2,94,20,5.64,MY,1603750435
142,Batagay-Alyta,67.8,130.41,7.72,88,100,1.72,RU,1603750948
143,Naze,28.37,129.48,69.8,68,20,9.17,JP,1603750948
144,São Filipe,14.9,-24.5,80.96,76,100,9.73,CV,1603750595
145,Geraldton,-28.77,114.6,57.2,87,75,4.7,AU,1603750613
146,Hobart,-42.88,147.33,54.0,62,75,6.93,AU,1603750581
147,Kavieng,-2.57,150.8,84.49,64,90,6.46,PG,1603750599
148,Malazgirt,39.14,42.54,42.46,56,0,1.14,TR,1603750949
149,Kuril'sk,45.23,147.88,47.73,72,80,10.83,RU,1603750949
150,Vila Velha,-20.33,-40.29,75.2,73,0,14.99,BR,1603750314
151,Bambous Virieux,-20.34,57.76,72.0,78,75,8.05,MU,1603750585
152,Lompoc,34.64,-120.46,71.6,37,1,12.75,US,1603750595
153,Raymondville,26.48,-97.78,89.6,38,75,17.22,US,1603750949
154,Changzhou,31.78,119.97,63.0,85,77,1.01,CN,1603750949
155,Klaksvík,62.23,-6.59,37.4,69,21,3.36,FO,1603750926
156,Tulum,20.22,-87.47,82.4,74,90,28.86,MX,1603750950
157,Hervey Bay,-25.3,152.85,75.99,90,97,4.0,AU,1603750842
158,San Isidro,-12.12,-77.05,68.0,72,40,13.87,PE,1603750950
159,Nagua,19.38,-69.85,84.2,89,40,13.87,DO,1603750597
160,Broken Hill,-31.95,141.43,51.8,93,90,8.05,AU,1603750950
161,Jeremoabo,-10.07,-38.48,78.85,67,100,11.25,BR,1603750950
162,Chapleau,47.84,-83.4,26.6,79,75,4.25,CA,1603750951
163,Koeru,58.96,26.03,50.2,92,100,9.69,EE,1603750951
164,Nouadhibou,20.93,-17.03,75.2,64,0,18.34,MR,1603750951
165,Sørland,67.67,12.69,44.6,93,75,19.46,NO,1603750611
166,Yermakovskoye,53.28,92.4,33.55,87,100,5.82,RU,1603750951
167,Morón,-34.65,-58.62,66.0,60,0,3.0,AR,1603750932
168,Bambanglipuro,-7.95,110.28,76.73,87,98,5.73,ID,1603750752
169,Soyo,-6.13,12.37,76.93,85,87,6.71,AO,1603750606
170,Khatanga,71.97,102.5,2.26,94,84,9.46,RU,1603750591
171,Ridgecrest,35.62,-117.67,68.0,2,1,22.08,US,1603750915
172,Barra de Tecoanapa,16.52,-98.75,85.44,75,100,8.77,MX,1603750952
173,Christchurch,-43.53,172.63,51.01,81,100,6.93,NZ,1603750606
174,Tuatapere,-46.13,167.68,53.01,74,91,1.99,NZ,1603750614
175,Yokote,39.3,140.57,46.4,100,90,5.82,JP,1603750952
176,Uyuni,-20.46,-66.83,64.71,19,0,19.1,BO,1603750952
177,Uruçuí,-7.23,-44.56,85.44,56,93,0.6,BR,1603750953
178,Amazar,53.86,120.88,27.12,95,100,11.7,RU,1603750898
179,Kambove,-10.88,26.6,66.99,65,98,3.62,CD,1603750621
180,Cape Town,-33.93,18.42,64.99,82,0,3.36,ZA,1603750585
181,Mvomero,-6.25,38.67,77.0,83,20,1.77,TZ,1603750953
182,Fare,-16.7,-151.02,80.98,76,68,14.61,PF,1603750953
183,Haines Junction,60.75,-137.51,42.13,66,27,15.08,CA,1603750598
184,Gurkovo,42.67,25.8,51.8,81,5,0.34,BG,1603750953
185,Beringovskiy,63.05,179.32,32.36,89,0,2.68,RU,1603750600
186,Bengkulu,-3.8,102.27,74.53,82,100,3.33,ID,1603750906
187,Te Anau,-45.42,167.72,52.63,55,60,5.44,NZ,1603750605
188,Trincomalee,8.57,81.23,80.01,81,100,5.86,LK,1603750954
189,Lagoa,39.05,-27.98,68.13,91,100,23.76,PT,1603750600
190,Ushtobe,45.25,77.98,51.06,42,100,6.51,KZ,1603750954
191,Amparafaravola,-17.58,48.22,61.56,90,61,1.45,MG,1603750954
192,Almaznyy,48.04,40.05,50.0,61,0,20.13,RU,1603750955
193,Isangel,-19.55,169.27,78.24,67,20,13.53,VU,1603750615
194,Coyhaique,-45.58,-72.07,51.8,53,40,10.29,CL,1603750449
195,Zhezkazgan,47.8,67.71,38.5,70,7,11.99,KZ,1603750619
196,Yar-Sale,66.83,70.83,7.34,95,63,6.73,RU,1603750610
197,Ust-Tsilma,65.44,52.15,19.99,96,100,5.46,RU,1603750602
198,Yakima,46.47,-120.67,45.0,26,1,3.36,US,1603750955
199,Mahébourg,-20.41,57.7,71.6,78,75,8.05,MU,1603750584
200,Avera,33.19,-82.53,68.0,100,90,6.93,US,1603750611
201,Kalabo,-14.97,22.68,78.03,22,48,3.62,ZM,1603750614
202,Arrondissement de Privas,44.58,4.5,46.99,87,2,1.99,FR,1603750956
203,East London,-33.02,27.91,66.47,88,99,21.61,ZA,1603750595
204,Hamilton,39.18,-84.53,51.01,81,90,6.93,US,1603750503
205,Pisco,-13.7,-76.22,71.6,60,0,17.22,PE,1603750591
206,Marsá Maţrūḩ,31.35,27.25,71.6,68,40,6.93,EG,1603750956
207,Magadan,59.57,150.8,32.59,86,95,9.69,RU,1603750956
208,Husavik,66.04,-17.34,35.6,74,90,8.05,IS,1603750918
209,Truth or Consequences,33.13,-107.25,66.99,42,90,25.28,US,1603750957
210,Oktyabr'skiy,54.48,53.47,29.61,90,92,14.41,RU,1603750957
211,Upernavik,72.79,-56.15,17.71,81,99,5.44,GL,1603750608
212,Dire Dawa,9.59,41.87,63.14,42,3,1.36,ET,1603750957
213,Magistral'nyy,56.17,107.45,18.18,95,62,3.31,RU,1603750913
214,Suffolk,40.87,-72.8,57.99,93,90,9.19,US,1603750957
215,Bud,39.45,-86.18,45.0,93,90,7.61,US,1603750940
216,Atambua,-9.11,124.89,76.41,81,85,2.62,ID,1603750958
217,Rock Sound,24.9,-76.2,82.36,78,84,7.49,BS,1603750958
218,Katsuura,35.13,140.3,61.0,67,75,12.75,JP,1603750594
219,Vao,-22.67,167.48,73.47,83,6,19.91,NC,1603750919
220,Arman',59.7,150.17,32.34,87,84,12.46,RU,1603750586
221,Buala,-8.14,159.59,83.28,71,95,2.17,SB,1603750608
222,Aksarka,66.56,67.8,3.92,95,64,7.43,RU,1603750958
223,Dutlwe,-23.98,23.9,79.0,21,97,13.0,BW,1603750959
224,Port Macquarie,-31.43,152.92,71.01,65,100,3.0,AU,1603750941
225,Saint-Augustin,51.23,-58.65,34.25,74,96,9.42,CA,1603750931
226,Marsh Harbour,26.54,-77.06,82.49,74,20,7.85,BS,1603750959
227,Pangnirtung,66.15,-65.71,21.2,67,75,9.17,CA,1603750375
228,Alugan,12.22,125.48,79.03,82,100,4.79,PH,1603750959
229,Kodinsk,58.69,99.18,24.94,95,88,3.6,RU,1603750585
230,New Norfolk,-42.78,147.06,54.0,61,100,1.01,AU,1603750586
231,Maun,-19.98,23.42,82.4,20,0,10.29,BW,1603750960
232,Polohy,47.48,36.25,53.19,63,100,13.31,UA,1603750960
233,Yei,4.09,30.68,68.4,94,100,2.39,SS,1603750960
234,Coari,-4.08,-63.14,84.69,65,61,1.41,BR,1603750960
235,Cabo San Lucas,22.89,-109.91,89.6,51,5,17.22,MX,1603750556
236,Ponta Delgada,37.73,-25.67,68.0,82,40,16.11,PT,1603750961
237,Iqaluit,63.75,-68.51,15.8,85,90,4.7,CA,1603750597
238,Nikolskoye,59.7,30.79,48.2,87,90,4.47,RU,1603750593
239,Sabang,5.89,95.32,82.17,74,80,18.14,ID,1603750961
240,Aklavik,68.22,-135.01,12.2,85,75,9.17,CA,1603750596
241,Chabahar,25.29,60.64,73.22,45,0,2.17,IR,1603750962
242,Imeni Poliny Osipenko,52.42,136.49,29.35,88,0,1.79,RU,1603750962
243,Labuhan,-6.88,112.21,78.37,85,72,10.89,ID,1603750601
244,Natal,-5.79,-35.21,80.6,78,40,8.05,BR,1603750865
245,Cidreira,-30.18,-50.21,68.36,95,100,10.33,BR,1603750593
246,Zile,40.3,35.89,50.0,39,0,2.51,TR,1603750962
247,Sabha,27.04,14.43,70.79,30,14,8.41,LY,1603750962
248,Pemagatsel,27.03,91.43,52.9,88,61,4.56,BT,1603750962
249,Pombas,17.15,-25.02,78.8,78,75,36.91,CV,1603750963
250,Svit,49.06,20.21,53.6,76,90,10.29,SK,1603750963
251,Qurayyat,31.33,37.34,66.2,16,0,4.7,SA,1603750963
252,Gigmoto,13.78,124.39,79.77,80,100,5.23,PH,1603750963
253,Seoul,37.57,126.98,46.4,100,1,0.67,KR,1603750500
254,Bundaberg,-24.85,152.35,78.01,88,90,5.82,AU,1603750619
255,Alekseyevka,50.63,38.69,48.79,71,100,9.01,RU,1603750963
256,General Roca,-39.03,-67.58,75.2,25,0,4.7,AR,1603750927
257,Gusau,12.16,6.66,76.41,27,1,3.4,NG,1603750964
258,Urucará,-2.54,-57.76,85.71,61,86,1.05,BR,1603750964
259,Yeniseysk,58.45,92.17,28.15,97,98,5.97,RU,1603750926
260,Petites Anses,15.85,-61.64,78.8,94,11,3.36,GP,1603750964
261,Thinadhoo,0.53,72.93,82.47,69,39,7.61,MV,1603750595
262,Hofn,64.25,-15.21,36.75,77,3,11.32,IS,1603750591
263,Bara,10.37,10.73,76.06,38,8,0.76,NG,1603750595
264,Shahr-e Bābak,30.12,55.12,47.89,43,0,6.11,IR,1603750965
265,Tautira,-17.73,-149.15,86.0,66,75,12.75,PF,1603750610
266,La Guardia,-17.89,-63.33,82.4,48,75,9.17,BO,1603750965
267,Norman Wells,65.28,-126.83,24.8,92,90,17.22,CA,1603750599
268,San Rafael,-34.62,-68.33,76.73,19,21,19.57,AR,1603750790
269,San Benedetto del Tronto,42.95,13.88,57.0,76,96,1.99,IT,1603750966
270,Jizan,17.33,42.67,86.0,66,20,0.43,SA,1603750966
271,Nizwá,22.93,57.53,62.76,56,0,1.63,OM,1603750966
272,São Luiz Gonzaga,-28.41,-54.96,63.23,81,67,9.37,BR,1603750966
273,Clyde River,70.47,-68.59,10.85,86,9,4.7,CA,1603750599
274,Kalmar,56.66,16.36,52.0,100,100,4.7,SE,1603750966
275,Todos Santos,23.45,-110.22,79.0,67,0,8.01,MX,1603750966
276,Zachary,30.65,-91.16,82.0,54,1,6.93,US,1603750966
277,Warrington,53.39,-2.58,48.99,87,40,12.75,GB,1603750967
278,Statesboro,32.45,-81.78,75.2,83,90,4.07,US,1603750967
